objectid,key,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territorial,tramo,sector,administrador,amv,superficie,calzada,ruta,fuente,fecha_fuente,fecha_actualiz,concesion,observacion_invias,estado,observacion_igac,reversion,pr_ini_con,pr_fin_con,ruleid_1
12,1,19018,1901,8,900,60,850,25,Acceso a Cali,Cali - Cruce Ruta 40 (Loboguerrero),1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,8+900,60+850,1
13,1,20020,2002,0,0,67,370,08,Popayan - Paletara - San Jose de Isnos - Pitalito - San Agustin,Popayán - Río Mazamorras,1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,Falta actualizar seg 0 a 2,,0+0,67+370,1
14,1,20030,2003,0,0,38,0,14,Acceso a Florencia,Altamira - Gabinete,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,38+0,1
15,1,2003A0,2003A,0,0,41,742,14,Acceso a Florencia,Orrapihuasi - Depresión El Vergel,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,41+742,1
17,3,24HL020,24HL02,0,0,5,0,14,,Acceso a Itaibe (Cruce Ruta 24 - Itaibe),1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,5+0,1
18,1,2501A102,2501A,102,0,136,0,08,Alternas a la Troncal de Occidente,Higuerones - Mojarras,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,102+0,136+0,1
19,2,2501A2,2501A,2,0,102,0,17,Alternas a la Troncal de Occidente,Pasto - Higuerones,1,5,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,2+0,102+0,1
20,3,25CC020,25CC02,0,0,19,124,08,Alternas a la Troncal de Occidente,Timbío - El Tablón,1,6,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,pr final 19+0150 en Ramón Lobo,,,,0+0,19+124,1
52,2,26CC03_20,26CC03_2,0,0,75,0,08,,Tierracruz - Naranjal,1,4,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,"Act. seg 8-9; 14-15; 16-17; 20-24 ;36-37; 38-39; 45-46; 48-50; 74-75",,0+0,75+0,1
340,1,55030,5503,0,0,134,193,04,Troncal Central del Norte,Duitama - La Palmera,1,5,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,"Act. seg 2-4; 6-8; 28-29; 41-42; 49-50; 69-72; 103-104; 106-107; 133-134",,0+0,134+193,1
16,2,24HL010,24HL01,0,0,12,0,14,,Puerto Nolasco - Nátaga,1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,12+0,1
26,1,70080,7008,0,0,69,0,26,Acceso a Cucuta y Venezuela,Ocaña - Alto del Pozo,1,1,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 24-27+0400,,0+0,69+0,1
27,1,01010,0101,0,0,28,0,27,Circunvalares de San Andres y Providencia,Circunvalación de la Isla de San Andrés,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR final 27+800 ramón Lobo,,,,0+0,28+0,1
341,1,621116,6211,16,0,118,616,07,Accesos a Yopal,El Crucero - Aguazul,1,1,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,"Act. 52-54; 71 al 118+0616",,16+0,118+616,1
21,1,26010,2601,0,0,17,0,08,Alternas a la Troncal de Occidente,Morales - Piendamó,1,4,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,17+0,1
22,2,26CC030,26CC03,0,0,28,700,08,,Jambaló - Toribío,1,5,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,28+700,1
23,1,40CNA0,40CNA,0,0,0,772,12,Transversal Buenaventura - Villavicencio - Puerto Carreño,Paso por Chipaque,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR final 0+0750 Ramón Lobo,,,,0+0,0+772,1
24,,40QN010,40QN01,0,0,8,617,20,Transversal Buenaventura - Villavicencio - Puerto Carreño,Club Campestre - El Caimo,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,8+617,2
25,1,40CN010,40CN01,0,0,11,150,12,Transversal Buenaventura - Villavicencio - Puerto Carreño,El Portal - El Antojo,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,11+150,1
28,1,2901B0,2901B,0,0,23,325,20,Acceso a Armenia,Armenia - Montenegro - Alcalá,1,1,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,23+325,1
29,,40080,4008,0,0,111,0,16,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puerto López - Puerto Gaitán,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,MALLA VIAL DEL META 2015. (ENTREGADO 9-JUN-2015),PR final 111+0970 (Ramón Lobo),rev,,,0+0,111+0,2
41,1,36030,3603,0,0,36,253,24,Alternas Buga - Puerto Inirida,Ortega - Guamo,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,36+253,1
73,,25VLF0,25VLF,0,0,4,241,25,,Variante de Andalucía,3,,,1,,Google Maps,,2016-04-07T00:00:00.000Z,,PR final 4+321 en Ramón Lobo,3d_mal_oeste,,,0+0,4+241,3
74,,25010,2501,0,40,83,0,17,Troncal de Occidente,Puente Internacional Rumichaca - San Juan de Pasto,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,DEVUELTA CONCESIÓN DEVINAR (4-MAY-2015). ENTREGA RUMICHACA - PASTO (27-OCT-2015),,,,,0+40,83+0,2
30,,40096,4009,6,480,68,1000,16,Transversal Buenaventura - Villavicencio - Puerto Carreño,Cruce a Rubiales - Puente Arimena,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,MALLA VIAL DEL META 2015. (ENTREGA 30-SEP-2015),,,,,6+480,68+1000,2
31,1,50085,5008,5,850,64,0,12,Transversal Las Animas - Bogotá,Honda - Villeta,1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR final 62+0000 (Ramón Lobo),rev,,,5+850,64+0,1
32,3,56070,5607,0,0,7,146,12,Conexión Troncal Central del Norte - Troncal Villagarzon - Saravena,Chocontá - Brisas,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,7+146,1
33,,560878,5608,78,0,92,48,07,Conexión Troncal Central del Norte - Troncal Villagarzon - Saravena,El Secreto - Aguaclara,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,78+0,92+48,2
34,2,24HL030,24HL03,0,0,3,100,14,,Cruce Ruta 24 - Tesalia,1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,3+100,1
35,2,40QN042,40QN04,2,300,4,0,20,Transversal Buenaventura - Villavicencio - Puerto Carreño,La Española - Armenia,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,2+300,4+0,1
36,,450366,4503,66,0,131,680,14,Troncal del Magdalena,San Juan de Villalobos - Pitalito,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,SANTANA - MOCOA - NEIVA (ENTREGADA 23-SEPT-2015),,,,,66+0,131+680,2
37,1,26020,2602,0,0,109,10,08,Transversal Huila - Cauca,Popayán (Crucero) - Guadualejo,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,109+10,1
38,1,29RSB0,29RSB,0,0,1,710,21,Troncal del Eje Cafetero,Variante de Galicia,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,1+710,1
39,1,30010,3001,0,0,54,0,14,Transversal Neiva - San Vicente,Neiva - Balsillas,1,3,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 0-2,,0+0,54+0,1
40,1,36021,3602,1,0,47,514,24,Alternas Buga - Puerto Inirida,Chaparral - Ortega,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,1+0,47+514,1
42,2,37CCA0,37CCA,0,0,7,0,08,,Rionegro - Tacueyó,1,5,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,7+0,1
43,,40020,4002,0,0,41,760,20,Transversal Buenaventura - Villavicencio - Puerto Carreño,La Paila - Club Campestre,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,41+760,2
44,1,170128,1701,28,900,40,200,17,Via Alterna al Puerto de Tumaco,Guachucal - El Espino,1,2,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act seg 29-30,,28+900,40+200,1
45,1,25010,2501,0,0,0,40,17,Troncal de Occidente,Puente Internacional Rumichaca,1,2,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,0+40,1
46,,29CL03_10,29CL03_1,0,0,3,189,05,,Club Campestre - La Trinidad,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR Final Ramón Lobo 4+0000,,,,0+0,3+189,2
47,,45031,4503,1,600,66,0,19,Troncal del Magdalena,Mocoa - San Juan de Villalobos,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,SANTANA - MOCOA - NEIVA (ENTREGADA 23-SEPT-2015),,,,,1+600,66+0,2
48,1,40MTA80,40MTA,80,0,94,583,16,,Pipiral - Villavicencio,1,1,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 80-83,,80+0,94+583,1
49,3,26CC0418,26CC04,18,0,25,0,08,,Tumbichucué - Calderas,1,3,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 18-25,,18+0,25+0,1
79,,45060,4506,0,0,83,100,14,Troncal del Magdalena,Neiva - Natagaima,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,83+100,2
53,1,400241,4002,41,760,50,250,20,Troncal del Eje Cafetero,Club Campestre - Armenia,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,41+760,50+250,1
54,1,400327,4003,27,0,49,800,24,Transversal Buenaventura - Villavicencio - Puerto Carreño,La Línea  - Cajamarca,1,2,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,27+0,49+800,1
55,,4006A0,4006A,0,0,32,400,12,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,Bogotá - Choachí - Ubaque,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,32+400,2
56,1,37020,3702,0,0,42,0,08,,Guadualejo - Irlanda,1,4,,1,,OpenStreetMap.,,2016-06-30T00:00:00.000Z,,,3d_mal_oeste,,,0+0,42+0,1
57,1,45050,4505,0,0,2,0,14,Troncal del Magdalena,Paso Nacional por Garzón,1,1,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,PR final 1+1030 en Ramón Lobo,,Act. seg 0-1,,0+0,2+0,1
58,1,2501B60,2501B,60,0,91,0,17,Alternas a la Troncal de Occidente,Santa Bárbara - Pasto,1,4,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,Se dividio Sector según Criterio Tecnico AMV 4 (60+0000),div,,,60+0,91+0,1
59,1,40MT010,40MT01,0,0,7,968,16,Transversal Buenaventura - Villavicencio - Puerto Carreño,Ramal Cruce Ruta 40 (Cruce Ruta a La Arepa) - El Porvenir,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,7+968,1
60,,45052,4505,2,0,110,500,14,Troncal del Magdalena,Garzón - Neiva,2,,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,SANTANA - MOCOA - NEIVA (ENTREGADA 23-SEPT-2015),PR inicial 1+1030 en Ramón Lobo,,"Act. seg 12-16; 19-21; 30-31",,2+0,110+500,2
61,1,65013,6501,3,0,55,600,19,Troncal Villagarzon - Saravena,Villagarzón - Puerto Bello,1,2,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 47-50,,3+0,55+600,1
62,1,43010,4301,0,0,49,500,14,,Cruce Tesalia - Teruel,1,2,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,"Act. seg 30-32; 38-39: 40-45",,0+0,49+500,1
63,,450714,4507,14,150,14,270,24,Troncal del Magdalena,Puente Saldaña,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,14+150,14+270,2
64,1,100295,1002,95,0,127,600,17,Transversal Tumaco - Leticia,Tuquerres - Pedregal,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,Se dividio Sector según Criterio Tecnico AMV 3 (95+0000),div,,,95+0,127+600,1
65,1,450683,4506,83,100,86,400,14,Troncal del Magdalena,Paso Nacional por Natagaima,1,3,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,83+100,86+400,1
80,1,45A0425,45A04,25,200,28,200,12,Troncal Central,Paso Nacional por Zipaquirá,1,1,,2,,Google Maps,2016-01-01T00:00:00.000Z,2016-09-05T00:00:00.000Z,,,,Act. seg 25+200-28+200,,25+200,28+200,1
66,1,450724,4507,24,60,27,1130,24,Troncal del Magdalena,Paso Nacional  por El Guamo,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,24+60,27+1130,1
67,,45HLC0,45HLC,0,0,5,0,14,Troncal del Magdalena,Variante de Pitalito,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,SANTANA - MOCOA - NEIVA (ENTREGADA 23-SEPT-2015),,,,,0+0,5+0,2
81,,25CCD0,25CCD,0,0,5,0,08,,Variante Puerto Tejada    ,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,5+0,2
86,1,2501B28,2501B,28,468,29,503,17,Alternas a la Troncal de Occidente,Cebadal - Santa Bárbara ( (Paso Antiguo por Puente Alfonso López Pumarejo),1,3,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,Se dividio Sector por paso antiguo sobre Rio Azufral PR 29,div,Act. seg 28- 31+250. El par vial no se dejó,,28+468,29+503,1
87,1,300257,3002,57,500,111,0,06,Transversal Neiva - San Vicente,Santo Domingo - Mina Blanca,1,3,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 57-111,,57+500,111+0,1
88,1,40090,4009,0,0,6,480,16,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puerto Gaitán - Cruce a Rubiales,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,Via no está en Criterio Tecnico,urg rev,,,0+0,6+480,2
68,,65110,6511,0,0,49,550,07,Troncal Villagarzon - Saravena,Barranca de Upía - Monterrey,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,VILLAVICENCIO - YOPAL (ENTREGADA 8-SEPT-2015),,,,,0+0,49+550,2
69,1,40070,4007,0,0,0,654,16,Transversal Buenaventura - Villavicencio - Puerto Carreño,Intersección Séptima Brigada - PR 0+0654,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,Se traslapa con PR inicial de ANI. Via no está en Criterio Tecnico,urg rev,,,0+0,0+654,1
70,,45TLE0,45TLE,0,0,3,100,14,Troncal del Magdalena,Variante de Natagaima,2,,,1,,Google Maps,,2015-12-09T00:00:00.000Z,,PR Final en Red Cartografica es 3+0230,,,,0+0,3+100,2
71,1,500935,5009,35,0,35,500,12,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,Paso por Guasca,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,Para definir trazado,Memorando,,,35+0,35+500,1
72,1,45010,4501,0,0,109,0,19,Troncal del Magdalena,Puente Internacional San Miguel - Santa Ana,1,1,,2,,Google Maps (DC Criterio Técnico),2016-06-15T00:00:00.000Z,2016-06-27T00:00:00.000Z,,,3d_mal_oeste,"Act. seg 17-18; 27-30; 43-47",,0+0,109+0,1
75,1,370177,3701,77,0,87,750,08,Transversal Huila - Cauca,Puerto Valencia - Guadualejo,1,3,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,77+0,87+750,1
76,1,45040,4504,0,0,2,180,14,Troncal del Magdalena,Paso Nacional por Pitalito,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,2+180,1
77,,45042,4504,2,180,70,165,14,Troncal del Magdalena,Pitalito - Garzón,2,,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,SANTANA - MOCOA - NEIVA (ENTREGADA 23-SEPT-2015),,,Act. seg 70 a 71,,2+180,70+165,2
78,,450686,4506,86,400,106,652,14,Troncal del Magdalena,Natagaima - Castilla,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR final 16+0000 en Ramón Lobo,,,,86+400,106+652,2
82,,2002125,2002,125,700,146,70,14,Popayan - Paletara - San Jose de Isnos - Pitalito - San Agustin,Sombrerillos - La Portada,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,SANTANA - MOCOA - NEIVA (ENTREGADA 23-SEPT-2015),,,,,125+700,146+70,2
83,,50CN030,50CN03,0,0,10,505,12,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,El Salitre - Sopó,2,,,1,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,,Act. seg 10 a 14+500,,0+0,10+505,2
84,1,03010,0301,0,0,17,500,27,Circunvalares de San Andres y Providencia,Circunvalación de la Isla de Providencia,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,17+500,1
85,2,55ST020,55ST02,0,0,124,0,22,Conexiones Troncal Central - Troncal Central del Norte,Málaga - Los Curos,1,1,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,124+0,1
89,,65090,6509,0,0,69,925,16,Troncal Villagarzon - Saravena,Ye de Granada - Paso por el Puente sobre el Río Ocoa,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,MALLA VIAL DEL META 2015. (ENTREGADO 9-JUN-2015),,,,,0+0,69+925,2
90,,650972,6509,72,2775,72,3045,16,Troncal Villagarzon - Saravena,Paso por el Puente sobre el Río Ocoa - Villavicencio,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,MALLA VIAL DEL META 2015. (ENTREGADO 9-JUN-2015),,,,,72+2775,72+3045,2
91,,25060,2506,0,0,42,550,25,Troncal de Occidente,Andalucía - La Paila -La Victoria,3,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,42+550,3
92,1,25025,2502,0,0,6,0,17,Troncal de Occidente,Par vial alto de daza,1,4,,1,,Google Maps,2016-01-01T00:00:00.000Z,2017-01-03T00:00:00.000Z,DEVUELTA CONCESIÓN DEVINAR (4-MAY-2015). STAND-BY PASTO-POPAYÁN,,3d mal_oeste,,,0+0,6+0,1
93,1,650969,6509,69,925,72,2775,16,Troncal Villagarzon - Saravena,Entrada Ciudad Porfía - Caño Tigre,1,1,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,69+925,72+2775,1
95,,29RSC20,29RSC,20,150,31,706,21,Troncal del Eje Cafetero,Intersección Jazmín - Estación de  Servicio Chinchiná,2,,,1,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,PR inicial 21+100 y PR Final 31+770 en Ramón Lobo,,,,20+150,31+706,2
96,,250567,2505,67,0,102,575,25,Troncal de Occidente,Buga - Andalucía,3,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,67+0,102+575,3
97,1,2501B0,2501B,0,0,60,0,17,Alternas a la Troncal de Occidente,Cebadal - Santa Bárbara,1,3,,2,,IGAC (Contrato 2130/2014),2015-09-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,Se dividio Sector según Criterio Tecnico AMV 3 (60+0000),div,Act. seg 28- 31+250. No se dejó Par Vial Sandoná y Consacá ,,0+0,60+0,1
94,,29010,2901,0,0,18,300,20,Troncal del Eje Cafetero,Armenia-Pereira,2,,,2,,IGAC (Contrato 2932/2008),2008-01-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,,,,,,0+0,18+300,2
